dimension,vertices,max_bit_length,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
10,1000,400,0.4,882,31,444490553533189699205620485924172035905683470699598872252358210174913026008376732766145691949403188597365655116640384,444490553533189699205620485924172035905683470699598872252358210174913026008376732766145691949403188597365655116640384
10,1000,400,0.4,914,30,677219300608719172342998996171450994814723432834262519338787145035311688049551876359351503464096490454445468862893528,677219300608719172342998996171450994814723432834262519338787145035311688049551876359351503464096490454445468862893528
10,1000,400,0.4,899,19,332538466681477518180109767688506678261328481602611909787987497932685951801160516480712927644846268558891789310100,332538466681477518180109767688506678261328481602611909787987497932685951801160516480712927644846268558891789310100
10,1000,400,0.4,909,39,20088115317144972126485038796838002251652952920979909663661729685804307274009072213440520555980700281866322275933589320,20088115317144972126485038796838002251652952920979909663661729685804307274009072213440520555980700281866322275933589320
10,1000,400,0.4,891,62,1288031268690845155688943023528666145084081237696423766636557087114166907402676568833988885056493727982166132530401736253,1288031268690845155688943023528666145084081237696423766636557087114166907402676568833988885056493727982166132530401736253
10,1000,400,0.4,910,33,18540895070767426257427217766384678492225683781631975161402167596250848718243750590976002529110757074657388275533822990,18540895070767426257427217766384678492225683781631975161402167596250848718243750590976002529110757074657388275533822990
10,1000,400,0.4,886,28,259315844624309349841096850549418368043229352433867890844442413187181157190846247843601107755933702102985794971166063,259315844624309349841096850549418368043229352433867890844442413187181157190846247843601107755933702102985794971166063
10,1000,400,0.4,889,23,8526971392419708412525002490419587474050000965428193682350363840967203971316649229869968814150011875259941557579970,8526971392419708412525002490419587474050000965428193682350363840967203971316649229869968814150011875259941557579970
10,1000,400,0.4,874,63,1288031268700970693398939299358507228044866067029528630279649723910535074239969331028704023106146999352075842625448767954,1288031268700970693398939299358507228044866067029528630279649723910535074239969331028704023106146999352075842625448767954
10,1000,350,0.4,1583,50,13208446802168479769058221900287787877487164145440003116830143186026902092731754216668318640723646037933,13208446802168479769058221900287787877487164145440003116830143186026902092731754216668318640723646037933
10,1000,350,0.4,1630,53,8075925643250088788282376529257634799965315318697981628947680821030982291536380040612213567425618932007,8075925643250088788282376529257634799965315318697981628947680821030982291536380040612213567425618932007
10,1000,350,0.4,1585,19,3370361147000771194752485991590825312409080195709370695932698738246196662015012757233480491578382,3370361147000771194752485991590825312409080195709370695932698738246196662015012757233480491578382
10,1000,350,0.4,1576,19,56199337122367042185964708918600026452041474932436217244544371024513198701879628364438210783375018,56199337122367042185964708918600026452041474932436217244544371024513198701879628364438210783375018
10,1000,350,0.4,1612,70,232668118236282963845266255781042595951580519741540460487320169442170292837842281562349311500251357330859,232668118236282963845266255781042595951580519741540460487320169442170292837842281562349311500251357330859
10,1000,350,0.4,1571,28,135156781193080698731034219753427919647133010214578736841786013345766239078402848273063694657972906437,135160151103842650197794310937753698134283047398498950135255092836948245698945063611909809832426553481
10,1000,350,0.4,1563,31,106269809718688805297828231266385814796562003315759711280639720234969478789606112644609079629081614624,106269809718688805297828231266385814796562003315759711280639720234969478789606112644609079629081614624
10,1000,350,0.4,1631,69,39311590178242658739164123485816557554158837842190236516171101345360996676833496104925631730163164345362,39311590178242658739164123485816557554158837842190236516171101345360996676833496104925631730163164345362
10,1000,350,0.4,1605,51,39311590178242658739164123485816557554158837842190236516171101345360996676833496104925631730163164342080,39311590178242658739164123485816557554158837842190236516171101345360996676833496104925631730163164342080
10,1000,350,0.4,1567,27,3077523547855213977759873821981262029569403278143644059802315162768555759554055355622570018741436562,3077523547855213977759873821981262029569403278143644059802315162768555759554055355622570018741436562
10,1000,300,0.4,782,45,4707375046687246296622325772394677770505330688662684588539690866041508609649186684070331,4707375046687246296622325772394677770505330688662684588539690866041508609649186684070331
10,1000,300,0.4,768,47,4707375046687246296621045442345641198892337674377193701031797380866510904868461316344855,4707375046687246296621045442345641198892337674377193701031797380866510904868461316344855
10,1000,300,0.4,723,45,4707375082971149519806806702175543606489745113094339356001207364273695764999491946110733,4707375082971149519806806702175543606489745113094339356001207364273695764999491946110733
10,1000,300,0.4,747,24,20132181750477503834246861776873648998375465662001542137235881327852679569721828994819,20132181750477503834246861776873648998375465662001542137235881327852679569721828994819
10,1000,300,0.4,714,50,12183451532239521640892606084584805626573664345511379432890868856027433648390620628265984,12183451532239521640892606084584805626573664345511379432890868856027433648390620628265984
10,1000,300,0.4,725,44,4707375046687246296621045442345641124609470783815009505877318140290795551890875398251586,4707375046687246296621045442345641124609470783815009505877318140290795551890875398251586
10,1000,300,0.4,747,60,124654081324094790279005332994795511929642359280897137070420974450952928253836693805829100,124654081324094790279005332994795511929642359280897137070420974450952928253836693805829100
10,1000,300,0.4,722,72,922914400469734956030550476000263071645599687842438095080954528039121972003579313672687642,922914400469734956030550476000263071645599687842438095080954528039121972003579313672687642
10,1000,300,0.4,717,21,29895264374636571025712431894353339896243845679308627724853422803366810958503765581451,29895264374636571025712431894353339896243845679308627724853422803366810958503765581451
10,1000,300,0.4,715,21,7247642013020330272565496399927562957227460048091858880667080201952267378649905789,7247642013020330272565496399927562957227460048091858880667080201952267378649905789
10,1000,250,0.4,824,18,1325564603948919262564118195693888534853455316398804715652643193917368,1325564603948919262564118195693888534853455316398804715652643193917368
10,1000,250,0.4,828,83,829704005521239972264856028138317257836327565614227202780728388151029188668,829704005521239972264856028138317257836327565614227202780728388151029188668
10,1000,250,0.4,853,16,5534337472836665066088924869501364223044663352961250447879299055618,5534337472836665066088924869501364223044663352961250447879299055618
10,1000,250,0.4,882,59,94804841193028939855602409223561577594173972451486068396889092472966456368,94804841193028939855602409223561577594173972451486068396889092472966456368
10,1000,250,0.4,887,62,94804841193029966795925974607106804803132515315011730068483014729511300555,94804841193029966795925974607106804803132515315011730068483014729511300555
10,1000,250,0.4,924,22,53806843931864115650606544214478406916656189528598784674449723743250727,53806843931864115650606544214478406916656189528598784674449723743250727
10,1000,250,0.4,873,26,80026708342998175251974662487199879524044400926028163941269317994022952,80026708342998175251974662487199879524044400926028163941269317994022952
10,1000,250,0.4,874,33,18151605961022350011420052550393204811073762205203210389654797566256999671,18152001019631837865477214492313727421907825769833077008272173004214739937
10,1000,250,0.4,894,25,80026708342998175251974662486434460808658786704647762723362835804532744,80026708342998175251974662486434460808658786704647762723362835804532744
10,1000,250,0.4,857,19,1325564609878509456305039051790854513250395110493060601789406309384585,1325564609878509456305039051790854513250395110493060601789406309384585
10,1000,200,0.4,813,132,758826176827838602766209764450223809644337411409885641830336,758826176827838602766209764450223809644337411409885641830336
10,1000,200,0.4,780,93,202159562807432027377431637133741016372888190498356517244081,202159562807432027377431637133741016372888190498356517244081
10,1000,200,0.4,820,57,31034569771140761969135697342306569707853227895376078145554,31034569771140761969135697342306569707853227895376078145554
10,1000,200,0.4,801,23,2801361501109742059576114427304411501790917804010378850587,2801361501109742059576114427304411501790917804010378850587
10,1000,200,0.4,843,94,230188645486660332856370707045571912901587445546960132047883,230188645486660332856370707045571912901587445546960132047883
10,1000,200,0.4,814,19,19122843076626077641799198143536311102902426063607057260,19122843076626077641799198143536311102902426063607057260
10,1000,200,0.4,811,19,19152344885274215216190414697094559539273355786814320388,19152344885274215216190414697094559539273355786814320388
10,1000,200,0.4,789,136,1286141795857027273972034070135614749201931587155018901160282,1286141795857027273972034070135614749201931587155018901160282
10,1000,200,0.4,787,39,6409579289598579317373646796861379310378626472736511956135,6409579289598579317373646796861379310378626472736511956135
10,1000,200,0.4,808,67,52072305208427225281342227441052919478294034385827428161522,52072305208427225281342227441052919478294034385827428161522
10,1000,150,0.4,841,23,24340544014930603845301508142077083195563428,24340544014930603845301508142077083195563428
10,1000,150,0.4,865,21,39364025910594257896434100433692764763455966,39364025910594257896434100433692764763455966
10,1000,150,0.4,854,99,325567842120375440701367027168963316849156626,325567842120375440701367027168963316849156626
10,1000,150,0.4,838,103,325572267275271939484390600118090677596210108,325572267275271939484390600118090677596210108
10,1000,150,0.4,835,274,734413420094861162386195751352999430352562129,734413420094861162386195751352999430352562129
10,1000,150,0.4,840,20,15973402941253843828223614569759557470467825,15973402941253843828223614569759557470467825
10,1000,150,0.4,880,17,709642260777569030354862751872008245400854,709642260777569030354862751872008245400854
10,1000,150,0.4,898,86,325565689652168993978625835590377166208058011,325565689652168993978625835590377166208058011
10,1000,150,0.4,877,27,39364025436430426653673193745762691195987808,39364025436430426653673193745762691195987808
10,1000,150,0.4,847,92,325567842120375440701367027168963316849156626,325567842120375440701367027168963316849156626
10,1000,100,0.4,859,23,18694306390552477775638333534,18694306390552477775638333534
10,1000,100,0.4,816,27,42982293053739433162269739647,42982293053739433162269739647
10,1000,100,0.4,846,20,1102472878740091922826140810,1102472878740091922826140810
10,1000,100,0.4,881,59,153448126406050299473824912646,153448126406050299473824912646
10,1000,100,0.4,864,30,36147386614014338500176760031,36147386614014338500176760031
