dimension,vertices,ave_degree,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
8, 1000, 4, 19.6, 504, 28, 29337455225851540918828940426686023937199888705043416085895718176710936899290953960626824976664578417404206446606146274824020946127133426603821680381456620927390025390469130166477336092149208008857970387907383804317305098192024812228227858128332589876820562343081642807564070362460076770, 29337455225851540918828940426686023937199888705043416085895718176710936899290953960626824976664578417404206446606146274824020946127133426603821680381456620927390025390469130166477336092149208008857970387907383804317305098192024812228227858128332589876820562343081642807564070362460076770
8, 1000, 4, 19.6, 515, 28, 8649523630901442935108027796974728821812041273110409666352776045623637448135970597179357336721166093093197339870434930422868583491513477719161561521019616746417759479667370293850786227198611572182604790129158771599368960379027260608673763435387161264455915851666090365172410730125805, 8649523630901442935108027796974728821812041273110409666352776045623637448135970597179357336721166093093197339870434930422868583491513477719161561521019616746417759479667370293850786227198611572182604790129158771599368960379027260608673763435387161264455915851666090365172410730125805
8, 1000, 4, 19.6, 495, 39, 39363485005515631262310687254999655821379487948088996549169713837661690826826411946555604328758557318254405536275478910255395378169743489376105895542278711504924561594402868349098340600762264801944199105582083395260012829940295647638797820550711121052577511091371191145992202638151825884984073294, 39363485005515631262310687254999655821379487948088996549169713837661690826826411946555604328758557318254405536275478910255395378169743489376105895542278711504924561594402868349098340600762264801944199105582083395260012829940295647638797820550711121052577511091371191145992202638151825884984073294
8, 1000, 4, 19.6, 562, 41, 264682767642760462382785049042331487579783224031223482889185728926819494253063543046124271263130016714781835168260453957631529642566066507029138574417464606043343409586945582034002564837104736385022915512995503329777438389829329676236780340019927356349320854798713394867879936228620544263976207350, 264682767642760462382785049042331487579783224031223482889185728926819494253063543046124271263130016714781835168260453957631529642566066507029138574417464606043343409586945582034002564837104736385022915512995503329777438389829329676236780340019927356349320854798713394867879936228620544263976207350
8, 1000, 4, 19.6, 678, 29, 386123803747828174486188211189536081346799972273488849525541137321744099075231986352602431879155702838616903093824914647460898539779738415931719457051113626162291428488104058882832350939544923980918760881146898669267227474790698394107442102363093941922283826152441039079072109004386963275, 386123803747828174486188211189536081346799972273488849525541137321744099075231986352602431879155702838616903093824914647460898539779738415931719457051113626162291428488104058882832350939544923980918760881146898669267227474790698394107442102363093941922283826152441039079072109004386963275
8, 1000, 4, 19.6, 441, 19, 1155470427803156942831183707578214793330027375111806178846018183011053386332822829593604527851909081350053458709585339263215663024668365183212243339807656915426422645276957661743455085858244224725712125243360680093129856838025923726146353677561016089511348358936894019666187963903248, 1155470427803156942831183707578214793330027375111806178846018183011053386332822829593604527851909081350053458709585339263215663024668365183212243339807656915426422645276957661743455085858244224725712125243360680093129856838025923726146353677561016089511348358936894019666187963903248
8, 1000, 4, 19.6, 486, 32, 406464120902007027100209863848307385548102498968509576638576417728682560377295437919291937494453739043711229335101374148685358113634293863044764027659063904686969221818358331381276851495231738796898610092281777970857061932233368477804606624551421576656306704766624747843499243568842522602327128713, 406464120902007027100209863848307385548102498968509576638576417728682560377295437919291937494453739043711229335101374148685358113634293863044764027659063904686969221818358331381276851495231738796898610092281777970857061932233368477804606624551421576656306704766624747843499243568842522602327128713
8, 1000, 4, 19.6, 426, 21, 32961131648962817781587654443054122052666018343720117666845560312251409805525813785767932982566825342639217411359575434988176732122636300848197014955921705218116446468096618448009994132632683741463244136273189147339951157127615835703800126441878963198656180758457244546424159629859363, 32961131648962817781587654443054122052666018343720117666845560312251409805525813785767932982566825342639217411359575434988176732122636300848197014955921705218116446468096618448009994132632683741463244136273189147339951157127615835703800126441878963198656180758457244546424159629859363
8, 1000, 4, 19.6, 570, 42, 112163183380409140509837258796562909851879968611420819096459305195170938213044124968742366364039263524054497258464152980527359421632094619974740594188630634462624496677225601481631539665746348003994226447331529729120342406503604893296186432738120423606428690417530287318896935075406903137918733150, 112163183380409140509837258796562909851879968611420819096459305195170938213044124968742366364039263524054497258464152980527359421632094619974740594188630634462624496677225601481631539665746348003994226447331529729120342406503604893296186432738120423606428690417530287318896935075406903137918733150
8, 1000, 4, 19.6, 444, 18, 6174345401119571608855261920173850176696796730690272557403660519882015324417374394725148059193456216756391139733716806388925421096360548934185875200417864966158514255791300579620270166757801723495326338312051100277774173549277498161800200382470215365697052902344344633278395125612335694, 6174345438292189044842121225300445425843102919844741292169202571845084430665382135156770381104677558311851688327150825422901535019294690703969958995767524141484205838634638026359592887303929923899084627416665659887649647549290372418964769492461749259252528588851265514286602731625616708
